workload_type,block_size,journal_modes,io_schedulers,read_ahead_sizes,barriers,noatime_options,commit_intervals,io_engines,mean_latency,bandwidth,iops
write,2048,ordered,bfq,512,off,atime,5,sync,51.77791366,38185,19092.78951
randread,2048,ordered,bfq,512,off,atime,5,sync,19.48496748,79727,39863.74696
randwrite,2048,ordered,bfq,512,off,atime,5,sync,64.96797398,30344,15172.1264
rw,2048,ordered,bfq,512,off,atime,5,sync,5.137695023,91347,45673.65479
randrw,2048,ordered,bfq,512,off,atime,5,sync,62.60943621,18457,9228.890144
read,2048,ordered,bfq,512,off,atime,5,libaio,28.81192272,870910,435455.1495
write,2048,ordered,bfq,512,off,atime,5,libaio,788.1603609,40212,20106.15125
randread,2048,ordered,bfq,512,off,atime,5,libaio,327.312676,75698,37849.26364
randwrite,2048,ordered,bfq,512,off,atime,5,libaio,1076.784712,29461,14730.50124
rw,2048,ordered,bfq,512,off,atime,5,libaio,103.9602927,141930,70965.25516
randrw,2048,ordered,bfq,512,off,atime,5,libaio,1412.306889,11073,5536.552308
read,2048,ordered,bfq,512,off,atime,30,sync,1.344485168,141317,70658.76011
write,2048,ordered,bfq,512,off,atime,30,sync,47.44278567,41610,20805.07937
randread,2048,ordered,bfq,512,off,atime,30,sync,23.72846897,68089,34044.67533
randwrite,2048,ordered,bfq,512,off,atime,30,sync,66.25669355,29819,14909.79411
rw,2048,ordered,bfq,512,off,atime,30,sync,6.509964978,169984,84992.19766
randrw,2048,ordered,bfq,512,off,atime,30,sync,88.69901395,13330,6665.204977
read,2048,ordered,bfq,512,off,atime,30,libaio,31.9409977,247773,123886.5785
write,2048,ordered,bfq,512,off,atime,30,libaio,795.7844187,39912,19956.15104
randread,2048,ordered,bfq,512,off,atime,30,libaio,359.3983226,71389,35694.98911
randwrite,2048,ordered,bfq,512,off,atime,30,libaio,1019.639982,31111,15555.66105
rw,2048,ordered,bfq,512,off,atime,30,libaio,72.41084894,97188,48594.05205
randrw,2048,ordered,bfq,512,off,atime,30,libaio,1278.494506,12212,6106.035127
read,2048,ordered,mq-deadline,128,on,noatime,5,sync,1.232099884,275361,137680.6723
write,2048,ordered,mq-deadline,128,on,noatime,5,sync,49.79945831,39652,19826.35002
randread,2048,ordered,mq-deadline,128,on,noatime,5,sync,28.07935066,59188,29594.03929
randwrite,2048,ordered,mq-deadline,128,on,noatime,5,sync,58.2452421,33833,16916.88178
rw,2048,ordered,mq-deadline,128,on,noatime,5,sync,15.53619756,82006,41003.13676
randrw,2048,ordered,mq-deadline,128,on,noatime,5,sync,102.8320329,11772,5886.077089
read,2048,ordered,mq-deadline,128,on,noatime,5,libaio,33.31259181,258269,129134.9754
write,2048,ordered,mq-deadline,128,on,noatime,5,libaio,794.8965272,39857,19928.84294
randread,2048,ordered,mq-deadline,128,on,noatime,5,libaio,372.4863687,69534,34767.10875
randwrite,2048,ordered,mq-deadline,128,on,noatime,5,libaio,1514.43178,20961,10480.72925
rw,2048,ordered,mq-deadline,128,on,noatime,5,libaio,520.3615484,26731,13365.84867
randrw,2048,ordered,mq-deadline,128,on,noatime,5,libaio,1151.394525,13579,6789.840017
read,2048,ordered,mq-deadline,128,on,noatime,30,sync,1.20971286,1040253,520126.9841
write,2048,ordered,mq-deadline,128,on,noatime,30,sync,44.54566229,44348,22174.2514
randread,2048,ordered,mq-deadline,128,on,noatime,30,sync,24.39192988,65749,32874.84324
randwrite,2048,ordered,mq-deadline,128,on,noatime,30,sync,90.00245412,21993,10996.89571
rw,2048,ordered,mq-deadline,128,on,noatime,30,sync,18.02892039,49702,24851.3308
randrw,2048,ordered,mq-deadline,128,on,noatime,30,sync,103.1041546,11281,5640.718046
read,2048,ordered,mq-deadline,128,on,noatime,30,libaio,32.08926906,809086,404543.2099
